Testname,Listener,Type,Source,Target,Algorithm,Ratingscore
SiSEC08,Listener_17,speech,female,dialog4,Algo21,45
SiSEC08,Listener_17,speech,female,dialog4,Algo22,45
SiSEC08,Listener_17,speech,female,dialog4,Algo24,45
SiSEC08,Listener_17,speech,female,dialog4,Algo25,11
SiSEC08,Listener_17,speech,female,dialog4,Algo27,45
SiSEC08,Listener_17,speech,female,dialog4,Algo30,45
SiSEC08,Listener_17,speech,female,dialog4,Algo32,33
SiSEC08,Listener_17,speech,female,dialog4,Algo34,15
SiSEC08,Listener_17,speech,female,dialog4,anchor,25
SiSEC08,Listener_17,speech,male,dialog5,orig,100
SiSEC08,Listener_17,speech,male,dialog5,Algo8,50
SiSEC08,Listener_17,speech,male,dialog5,Algo21,47
SiSEC08,Listener_17,speech,male,dialog5,Algo22,50
SiSEC08,Listener_17,speech,male,dialog5,Algo24,50
SiSEC08,Listener_17,speech,male,dialog5,Algo25,39
SiSEC08,Listener_17,speech,male,dialog5,Algo27,50
SiSEC08,Listener_17,speech,male,dialog5,Algo30,50
SiSEC08,Listener_17,speech,male,dialog5,Algo32,32
SiSEC08,Listener_17,speech,male,dialog5,Algo34,39
SiSEC08,Listener_17,speech,male,dialog5,anchor,21
SiSEC08,Listener_17,speech,male,dialog6,orig,100
SiSEC08,Listener_17,speech,male,dialog6,Algo8,33
SiSEC08,Listener_17,speech,male,dialog6,Algo21,33
SiSEC08,Listener_17,speech,male,dialog6,Algo22,33
SiSEC08,Listener_17,speech,male,dialog6,Algo24,31
SiSEC08,Listener_17,speech,male,dialog6,Algo25,33
SiSEC08,Listener_17,speech,male,dialog6,Algo27,25
SiSEC08,Listener_17,speech,male,dialog6,Algo30,32
SiSEC08,Listener_17,speech,male,dialog6,Algo32,19
SiSEC08,Listener_17,speech,male,dialog6,Algo34,36
SiSEC08,Listener_17,speech,male,dialog6,anchor,25
SiSEC08,Listener_17,speech,male,dialog7,orig,100
SiSEC08,Listener_17,speech,male,dialog7,Algo8,39
SiSEC08,Listener_17,speech,male,dialog7,Algo21,35
SiSEC08,Listener_17,speech,male,dialog7,Algo22,39
SiSEC08,Listener_17,speech,male,dialog7,Algo24,39
SiSEC08,Listener_17,speech,male,dialog7,Algo25,34
SiSEC08,Listener_17,speech,male,dialog7,Algo27,35
SiSEC08,Listener_17,speech,male,dialog7,Algo30,37
SiSEC08,Listener_17,speech,male,dialog7,Algo32,25
SiSEC08,Listener_17,speech,male,dialog7,Algo34,39
SiSEC08,Listener_17,speech,male,dialog7,anchor,13
SiSEC08,Listener_17,speech,male,dialog8,orig,100
SiSEC08,Listener_17,speech,male,dialog8,Algo8,47
SiSEC08,Listener_17,speech,male,dialog8,Algo21,46
SiSEC08,Listener_17,speech,male,dialog8,Algo22,46
SiSEC08,Listener_17,speech,male,dialog8,Algo24,48
SiSEC08,Listener_17,speech,male,dialog8,Algo25,19
SiSEC08,Listener_17,speech,male,dialog8,Algo27,42
SiSEC08,Listener_17,speech,male,dialog8,Algo30,47
SiSEC08,Listener_17,speech,male,dialog8,Algo32,31
SiSEC08,Listener_17,speech,male,dialog8,Algo34,16
SiSEC08,Listener_17,speech,male,dialog8,anchor,27
SiSEC08,Listener_17,music,nodrums,ebass,orig,100
SiSEC08,Listener_17,music,nodrums,ebass,Algo8,50
SiSEC08,Listener_17,music,nodrums,ebass,Algo21,51
SiSEC08,Listener_17,music,nodrums,ebass,Algo22,61
SiSEC08,Listener_17,music,nodrums,ebass,Algo24,50
SiSEC08,Listener_17,music,nodrums,ebass,Algo25,47
SiSEC08,Listener_17,music,nodrums,ebass,Algo27,52
SiSEC08,Listener_17,music,nodrums,ebass,Algo30,50
SiSEC08,Listener_17,music,nodrums,ebass,Algo32,26
SiSEC08,Listener_17,music,nodrums,ebass,Algo34,38
SiSEC08,Listener_17,music,nodrums,ebass,anchor,32
SiSEC08,Listener_17,music,nodrums,eguitar,orig,100
SiSEC08,Listener_17,music,nodrums,eguitar,Algo8,44
SiSEC08,Listener_17,music,nodrums,eguitar,Algo21,35
SiSEC08,Listener_17,music,nodrums,eguitar,Algo22,48
SiSEC08,Listener_17,music,nodrums,eguitar,Algo24,37
SiSEC08,Listener_17,music,nodrums,eguitar,Algo25,37
SiSEC08,Listener_17,music,nodrums,eguitar,Algo27,40
SiSEC08,Listener_17,music,nodrums,eguitar,Algo30,46
SiSEC08,Listener_17,music,nodrums,eguitar,Algo32,25
SiSEC08,Listener_17,music,nodrums,eguitar,Algo34,6
SiSEC08,Listener_17,music,nodrums,eguitar,anchor,29
SiSEC08,Listener_17,music,nodrums,aguitar,orig,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo8,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo21,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo22,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo24,96
SiSEC08,Listener_17,music,nodrums,aguitar,Algo25,66
SiSEC08,Listener_17,music,nodrums,aguitar,Algo27,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo30,100
SiSEC08,Listener_17,music,nodrums,aguitar,Algo32,41
SiSEC08,Listener_17,music,nodrums,aguitar,Algo34,5
SiSEC08,Listener_17,music,nodrums,aguitar,anchor,29
SiSEC08,Listener_17,music,wdrums,hat,orig,100
SiSEC08,Listener_17,music,wdrums,hat,Algo8,41
SiSEC08,Listener_17,music,wdrums,hat,Algo21,50
SiSEC08,Listener_17,music,wdrums,hat,Algo22,46
SiSEC08,Listener_17,music,wdrums,hat,Algo24,41
SiSEC08,Listener_17,music,wdrums,hat,Algo25,36
SiSEC08,Listener_17,music,wdrums,hat,Algo27,41
SiSEC08,Listener_17,music,wdrums,hat,Algo30,47
SiSEC08,Listener_17,music,wdrums,hat,Algo32,42
SiSEC08,Listener_17,music,wdrums,hat,Algo34,33
SiSEC08,Listener_17,music,wdrums,hat,anchor,28
SiSEC08,Listener_17,music,wdrums,kicksnare,orig,100
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo8,26
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo21,44
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo22,34
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo24,39
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo25,10
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo27,28
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo30,38
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo32,30
SiSEC08,Listener_17,music,wdrums,kicksnare,Algo34,33
SiSEC08,Listener_17,music,wdrums,kicksnare,anchor,31
SiSEC08,Listener_17,music,wdrums,bass,orig,100
SiSEC08,Listener_17,music,wdrums,bass,Algo8,61
SiSEC08,Listener_17,music,wdrums,bass,Algo21,61
SiSEC08,Listener_17,music,wdrums,bass,Algo22,66
SiSEC08,Listener_17,music,wdrums,bass,Algo24,61
SiSEC08,Listener_17,music,wdrums,bass,Algo25,26
SiSEC08,Listener_17,music,wdrums,bass,Algo27,61
SiSEC08,Listener_17,music,wdrums,bass,Algo30,61
SiSEC08,Listener_17,music,wdrums,bass,Algo32,54
SiSEC08,Listener_17,music,wdrums,bass,Algo34,46
SiSEC08,Listener_17,music,wdrums,bass,anchor,33
SiSEC08,Listener_18,speech,female,dialog1,orig,100
SiSEC08,Listener_18,speech,female,dialog1,Algo8,46
SiSEC08,Listener_18,speech,female,dialog1,Algo21,46
SiSEC08,Listener_18,speech,female,dialog1,Algo22,48
SiSEC08,Listener_18,speech,female,dialog1,Algo24,51
SiSEC08,Listener_18,speech,female,dialog1,Algo25,41
SiSEC08,Listener_18,speech,female,dialog1,Algo27,45
SiSEC08,Listener_18,speech,female,dialog1,Algo30,46
SiSEC08,Listener_18,speech,female,dialog1,Algo32,37
SiSEC08,Listener_18,speech,female,dialog1,Algo34,40
SiSEC08,Listener_18,speech,female,dialog1,anchor,0
SiSEC08,Listener_18,speech,female,dialog2,orig,100
SiSEC08,Listener_18,speech,female,dialog2,Algo8,30
SiSEC08,Listener_18,speech,female,dialog2,Algo21,24
SiSEC08,Listener_18,speech,female,dialog2,Algo22,39
SiSEC08,Listener_18,speech,female,dialog2,Algo24,37
SiSEC08,Listener_18,speech,female,dialog2,Algo25,28
SiSEC08,Listener_18,speech,female,dialog2,Algo27,30
SiSEC08,Listener_18,speech,female,dialog2,Algo30,30
SiSEC08,Listener_18,speech,female,dialog2,Algo32,18
SiSEC08,Listener_18,speech,female,dialog2,Algo34,4
SiSEC08,Listener_18,speech,female,dialog2,anchor,0
SiSEC08,Listener_18,speech,female,dialog3,orig,100
SiSEC08,Listener_18,speech,female,dialog3,Algo8,33
SiSEC08,Listener_18,speech,female,dialog3,Algo21,30
SiSEC08,Listener_18,speech,female,dialog3,Algo22,29
SiSEC08,Listener_18,speech,female,dialog3,Algo24,32
SiSEC08,Listener_18,speech,female,dialog3,Algo25,25
SiSEC08,Listener_18,speech,female,dialog3,Algo27,30
SiSEC08,Listener_18,speech,female,dialog3,Algo30,31
SiSEC08,Listener_18,speech,female,dialog3,Algo32,15
SiSEC08,Listener_18,speech,female,dialog3,Algo34,18
SiSEC08,Listener_18,speech,female,dialog3,anchor,0
SiSEC08,Listener_18,speech,female,dialog4,orig,100
SiSEC08,Listener_18,speech,female,dialog4,Algo8,45
SiSEC08,Listener_18,speech,female,dialog4,Algo21,46
SiSEC08,Listener_18,speech,female,dialog4,Algo22,45
SiSEC08,Listener_18,speech,female,dialog4,Algo24,48
SiSEC08,Listener_18,speech,female,dialog4,Algo25,38
SiSEC08,Listener_18,speech,female,dialog4,Algo27,45
SiSEC08,Listener_18,speech,female,dialog4,Algo30,47
SiSEC08,Listener_18,speech,female,dialog4,Algo32,22
SiSEC08,Listener_18,speech,female,dialog4,Algo34,19
SiSEC08,Listener_18,speech,female,dialog4,anchor,0
SiSEC08,Listener_18,speech,male,dialog5,orig,100
SiSEC08,Listener_18,speech,male,dialog5,Algo8,53
SiSEC08,Listener_18,speech,male,dialog5,Algo21,51
SiSEC08,Listener_18,speech,male,dialog5,Algo22,59
SiSEC08,Listener_18,speech,male,dialog5,Algo24,54
SiSEC08,Listener_18,speech,male,dialog5,Algo25,31
SiSEC08,Listener_18,speech,male,dialog5,Algo27,51
SiSEC08,Listener_18,speech,male,dialog5,Algo30,50
SiSEC08,Listener_18,speech,male,dialog5,Algo32,45
SiSEC08,Listener_18,speech,male,dialog5,Algo34,42
SiSEC08,Listener_18,speech,male,dialog5,anchor,0
SiSEC08,Listener_18,speech,male,dialog6,orig,100
SiSEC08,Listener_18,speech,male,dialog6,Algo8,43
SiSEC08,Listener_18,speech,male,dialog6,Algo21,39
SiSEC08,Listener_18,speech,male,dialog6,Algo22,44
SiSEC08,Listener_18,speech,male,dialog6,Algo24,47
SiSEC08,Listener_18,speech,male,dialog6,Algo25,37
SiSEC08,Listener_18,speech,male,dialog6,Algo27,43
SiSEC08,Listener_18,speech,male,dialog6,Algo30,41
SiSEC08,Listener_18,speech,male,dialog6,Algo32,26
SiSEC08,Listener_18,speech,male,dialog6,Algo34,30
SiSEC08,Listener_18,speech,male,dialog6,anchor,0
SiSEC08,Listener_18,speech,male,dialog7,orig,100
SiSEC08,Listener_18,speech,male,dialog7,Algo8,43
SiSEC08,Listener_18,speech,male,dialog7,Algo21,41
SiSEC08,Listener_18,speech,male,dialog7,Algo22,49
SiSEC08,Listener_18,speech,male,dialog7,Algo24,42
SiSEC08,Listener_18,speech,male,dialog7,Algo25,37
SiSEC08,Listener_18,speech,male,dialog7,Algo27,47
SiSEC08,Listener_18,speech,male,dialog7,Algo30,45
SiSEC08,Listener_18,speech,male,dialog7,Algo32,28
SiSEC08,Listener_18,speech,male,dialog7,Algo34,41
SiSEC08,Listener_18,speech,male,dialog7,anchor,0
SiSEC08,Listener_18,speech,male,dialog8,orig,100
SiSEC08,Listener_18,speech,male,dialog8,Algo8,47
SiSEC08,Listener_18,speech,male,dialog8,Algo21,47
SiSEC08,Listener_18,speech,male,dialog8,Algo22,50
SiSEC08,Listener_18,speech,male,dialog8,Algo24,49
SiSEC08,Listener_18,speech,male,dialog8,Algo25,44
SiSEC08,Listener_18,speech,male,dialog8,Algo27,47
SiSEC08,Listener_18,speech,male,dialog8,Algo30,47
SiSEC08,Listener_18,speech,male,dialog8,Algo32,26
SiSEC08,Listener_18,speech,male,dialog8,Algo34,38
SiSEC08,Listener_18,speech,male,dialog8,anchor,0
SiSEC08,Listener_18,music,nodrums,ebass,orig,100
SiSEC08,Listener_18,music,nodrums,ebass,Algo8,41
SiSEC08,Listener_18,music,nodrums,ebass,Algo21,38
SiSEC08,Listener_18,music,nodrums,ebass,Algo22,71
SiSEC08,Listener_18,music,nodrums,ebass,Algo24,42
SiSEC08,Listener_18,music,nodrums,ebass,Algo25,49
SiSEC08,Listener_18,music,nodrums,ebass,Algo27,36
SiSEC08,Listener_18,music,nodrums,ebass,Algo30,47
SiSEC08,Listener_18,music,nodrums,ebass,Algo32,29
SiSEC08,Listener_18,music,nodrums,ebass,Algo34,9
SiSEC08,Listener_18,music,nodrums,ebass,anchor,0
SiSEC08,Listener_18,music,nodrums,eguitar,orig,100
SiSEC08,Listener_18,music,nodrums,eguitar,Algo8,47
SiSEC08,Listener_18,music,nodrums,eguitar,Algo21,30
SiSEC08,Listener_18,music,nodrums,eguitar,Algo22,51
SiSEC08,Listener_18,music,nodrums,eguitar,Algo24,40
SiSEC08,Listener_18,music,nodrums,eguitar,Algo25,39
SiSEC08,Listener_18,music,nodrums,eguitar,Algo27,47
SiSEC08,Listener_18,music,nodrums,eguitar,Algo30,43
SiSEC08,Listener_18,music,nodrums,eguitar,Algo32,9
SiSEC08,Listener_18,music,nodrums,eguitar,Algo34,5
SiSEC08,Listener_18,music,nodrums,eguitar,anchor,0
SiSEC08,Listener_18,music,nodrums,aguitar,orig,100
SiSEC08,Listener_18,music,nodrums,aguitar,Algo8,100
SiSEC08,Listener_18,music,nodrums,aguitar,Algo21,97
SiSEC08,Listener_18,music,nodrums,aguitar,Algo22,100
SiSEC08,Listener_18,music,nodrums,aguitar,Algo24,97
SiSEC08,Listener_18,music,nodrums,aguitar,Algo25,54
SiSEC08,Listener_18,music,nodrums,aguitar,Algo27,99
SiSEC08,Listener_18,music,nodrums,aguitar,Algo30,99
SiSEC08,Listener_18,music,nodrums,aguitar,Algo32,42
SiSEC08,Listener_18,music,nodrums,aguitar,Algo34,0
SiSEC08,Listener_18,music,nodrums,aguitar,anchor,0
SiSEC08,Listener_18,music,wdrums,hat,orig,100
SiSEC08,Listener_18,music,wdrums,hat,Algo8,41
SiSEC08,Listener_18,music,wdrums,hat,Algo21,43
SiSEC08,Listener_18,music,wdrums,hat,Algo22,45
SiSEC08,Listener_18,music,wdrums,hat,Algo24,47
SiSEC08,Listener_18,music,wdrums,hat,Algo25,35
SiSEC08,Listener_18,music,wdrums,hat,Algo27,37
SiSEC08,Listener_18,music,wdrums,hat,Algo30,50
SiSEC08,Listener_18,music,wdrums,hat,Algo32,38
SiSEC08,Listener_18,music,wdrums,hat,Algo34,33
SiSEC08,Listener_18,music,wdrums,hat,anchor,0
SiSEC08,Listener_18,music,wdrums,kicksnare,orig,100
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo8,38
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo21,43
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo22,46
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo24,39
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo25,19
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo27,25
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo30,45
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo32,33
SiSEC08,Listener_18,music,wdrums,kicksnare,Algo34,29
SiSEC08,Listener_18,music,wdrums,kicksnare,anchor,0
SiSEC08,Listener_18,music,wdrums,bass,orig,100
SiSEC08,Listener_18,music,wdrums,bass,Algo8,42
SiSEC08,Listener_18,music,wdrums,bass,Algo21,45
SiSEC08,Listener_18,music,wdrums,bass,Algo22,55
SiSEC08,Listener_18,music,wdrums,bass,Algo24,51
SiSEC08,Listener_18,music,wdrums,bass,Algo25,40
SiSEC08,Listener_18,music,wdrums,bass,Algo27,49
SiSEC08,Listener_18,music,wdrums,bass,Algo30,53
SiSEC08,Listener_18,music,wdrums,bass,Algo32,30
SiSEC08,Listener_18,music,wdrums,bass,Algo34,38
SiSEC08,Listener_18,music,wdrums,bass,anchor,0
SiSEC08,Listener_19,speech,female,dialog1,orig,100
SiSEC08,Listener_19,speech,female,dialog1,Algo8,47
SiSEC08,Listener_19,speech,female,dialog1,Algo21,45
SiSEC08,Listener_19,speech,female,dialog1,Algo22,50
SiSEC08,Listener_19,speech,female,dialog1,Algo24,48
SiSEC08,Listener_19,speech,female,dialog1,Algo25,35
SiSEC08,Listener_19,speech,female,dialog1,Algo27,42
SiSEC08,Listener_19,speech,female,dialog1,Algo30,42
SiSEC08,Listener_19,speech,female,dialog1,Algo32,30
SiSEC08,Listener_19,speech,female,dialog1,Algo34,33
SiSEC08,Listener_19,speech,female,dialog1,anchor,10
SiSEC08,Listener_19,speech,female,dialog2,orig,100
SiSEC08,Listener_19,speech,female,dialog2,Algo8,40
SiSEC08,Listener_19,speech,female,dialog2,Algo21,32
SiSEC08,Listener_19,speech,female,dialog2,Algo22,45
SiSEC08,Listener_19,speech,female,dialog2,Algo24,37
SiSEC08,Listener_19,speech,female,dialog2,Algo25,28
SiSEC08,Listener_19,speech,female,dialog2,Algo27,32
SiSEC08,Listener_19,speech,female,dialog2,Algo30,34
SiSEC08,Listener_19,speech,female,dialog2,Algo32,20
SiSEC08,Listener_19,speech,female,dialog2,Algo34,25
SiSEC08,Listener_19,speech,female,dialog2,anchor,10
SiSEC08,Listener_19,speech,female,dialog3,orig,100
SiSEC08,Listener_19,speech,female,dialog3,Algo8,32
SiSEC08,Listener_19,speech,female,dialog3,Algo21,24
SiSEC08,Listener_19,speech,female,dialog3,Algo22,24
SiSEC08,Listener_19,speech,female,dialog3,Algo24,30
SiSEC08,Listener_19,speech,female,dialog3,Algo25,20
SiSEC08,Listener_19,speech,female,dialog3,Algo27,22
SiSEC08,Listener_19,speech,female,dialog3,Algo30,30
SiSEC08,Listener_19,speech,female,dialog3,Algo32,15
SiSEC08,Listener_19,speech,female,dialog3,Algo34,20
SiSEC08,Listener_19,speech,female,dialog3,anchor,10
SiSEC08,Listener_19,speech,female,dialog4,orig,100
SiSEC08,Listener_19,speech,female,dialog4,Algo8,40
SiSEC08,Listener_19,speech,female,dialog4,Algo21,42
SiSEC08,Listener_19,speech,female,dialog4,Algo22,45
SiSEC08,Listener_19,speech,female,dialog4,Algo24,38
SiSEC08,Listener_19,speech,female,dialog4,Algo25,25
SiSEC08,Listener_19,speech,female,dialog4,Algo27,40
SiSEC08,Listener_19,speech,female,dialog4,Algo30,42
SiSEC08,Listener_19,speech,female,dialog4,Algo32,30
SiSEC08,Listener_19,speech,female,dialog4,Algo34,20
SiSEC08,Listener_19,speech,female,dialog4,anchor,10
SiSEC08,Listener_19,speech,male,dialog5,orig,100
SiSEC08,Listener_19,speech,male,dialog5,Algo8,40
SiSEC08,Listener_19,speech,male,dialog5,Algo21,38
SiSEC08,Listener_19,speech,male,dialog5,Algo22,50
SiSEC08,Listener_19,speech,male,dialog5,Algo24,41
SiSEC08,Listener_19,speech,male,dialog5,Algo25,25
SiSEC08,Listener_19,speech,male,dialog5,Algo27,40
SiSEC08,Listener_19,speech,male,dialog5,Algo30,40
SiSEC08,Listener_19,speech,male,dialog5,Algo32,30
SiSEC08,Listener_19,speech,male,dialog5,Algo34,30
SiSEC08,Listener_19,speech,male,dialog5,anchor,20
SiSEC08,Listener_19,speech,male,dialog6,orig,100
SiSEC08,Listener_19,speech,male,dialog6,Algo8,20
SiSEC08,Listener_19,speech,male,dialog6,Algo21,30
SiSEC08,Listener_19,speech,male,dialog6,Algo22,38
SiSEC08,Listener_19,speech,male,dialog6,Algo24,35
SiSEC08,Listener_19,speech,male,dialog6,Algo25,25
SiSEC08,Listener_19,speech,male,dialog6,Algo27,20
SiSEC08,Listener_19,speech,male,dialog6,Algo30,35
SiSEC08,Listener_19,speech,male,dialog6,Algo32,16
SiSEC08,Listener_19,speech,male,dialog6,Algo34,25
SiSEC08,Listener_19,speech,male,dialog6,anchor,10
SiSEC08,Listener_19,speech,male,dialog7,orig,100
SiSEC08,Listener_19,speech,male,dialog7,Algo8,35
SiSEC08,Listener_19,speech,male,dialog7,Algo21,40
SiSEC08,Listener_19,speech,male,dialog7,Algo22,43
SiSEC08,Listener_19,speech,male,dialog7,Algo24,38
SiSEC08,Listener_19,speech,male,dialog7,Algo25,30
SiSEC08,Listener_19,speech,male,dialog7,Algo27,38
SiSEC08,Listener_19,speech,male,dialog7,Algo30,35
SiSEC08,Listener_19,speech,male,dialog7,Algo32,25
SiSEC08,Listener_19,speech,male,dialog7,Algo34,38
SiSEC08,Listener_19,speech,male,dialog7,anchor,15
SiSEC08,Listener_19,speech,male,dialog8,orig,100
SiSEC08,Listener_19,speech,male,dialog8,Algo8,30
SiSEC08,Listener_19,speech,male,dialog8,Algo21,35
SiSEC08,Listener_19,speech,male,dialog8,Algo22,32
SiSEC08,Listener_19,speech,male,dialog8,Algo24,35
SiSEC08,Listener_19,speech,male,dialog8,Algo25,25
SiSEC08,Listener_19,speech,male,dialog8,Algo27,35
SiSEC08,Listener_19,speech,male,dialog8,Algo30,35
SiSEC08,Listener_19,speech,male,dialog8,Algo32,25
SiSEC08,Listener_19,speech,male,dialog8,Algo34,20
SiSEC08,Listener_19,speech,male,dialog8,anchor,15
SiSEC08,Listener_19,music,nodrums,ebass,orig,100
SiSEC08,Listener_19,music,nodrums,ebass,Algo8,40
SiSEC08,Listener_19,music,nodrums,ebass,Algo21,40
SiSEC08,Listener_19,music,nodrums,ebass,Algo22,70
SiSEC08,Listener_19,music,nodrums,ebass,Algo24,40
SiSEC08,Listener_19,music,nodrums,ebass,Algo25,35
SiSEC08,Listener_19,music,nodrums,ebass,Algo27,40
SiSEC08,Listener_19,music,nodrums,ebass,Algo30,50
SiSEC08,Listener_19,music,nodrums,ebass,Algo32,25
SiSEC08,Listener_19,music,nodrums,ebass,Algo34,15
SiSEC08,Listener_19,music,nodrums,ebass,anchor,10
SiSEC08,Listener_19,music,nodrums,eguitar,orig,100
SiSEC08,Listener_19,music,nodrums,eguitar,Algo8,54
SiSEC08,Listener_19,music,nodrums,eguitar,Algo21,45
SiSEC08,Listener_19,music,nodrums,eguitar,Algo22,60
SiSEC08,Listener_19,music,nodrums,eguitar,Algo24,48
SiSEC08,Listener_19,music,nodrums,eguitar,Algo25,35
SiSEC08,Listener_19,music,nodrums,eguitar,Algo27,54
SiSEC08,Listener_19,music,nodrums,eguitar,Algo30,48
SiSEC08,Listener_19,music,nodrums,eguitar,Algo32,25
SiSEC08,Listener_19,music,nodrums,eguitar,Algo34,0
SiSEC08,Listener_19,music,nodrums,eguitar,anchor,15
SiSEC08,Listener_19,music,nodrums,aguitar,orig,100
SiSEC08,Listener_19,music,nodrums,aguitar,Algo8,100
SiSEC08,Listener_19,music,nodrums,aguitar,Algo21,95
SiSEC08,Listener_19,music,nodrums,aguitar,Algo22,100
SiSEC08,Listener_19,music,nodrums,aguitar,Algo24,90
SiSEC08,Listener_19,music,nodrums,aguitar,Algo25,50
SiSEC08,Listener_19,music,nodrums,aguitar,Algo27,100
SiSEC08,Listener_19,music,nodrums,aguitar,Algo30,92
SiSEC08,Listener_19,music,nodrums,aguitar,Algo32,40
SiSEC08,Listener_19,music,nodrums,aguitar,Algo34,0
SiSEC08,Listener_19,music,nodrums,aguitar,anchor,15
SiSEC08,Listener_19,music,wdrums,hat,orig,100
SiSEC08,Listener_19,music,wdrums,hat,Algo8,47
SiSEC08,Listener_19,music,wdrums,hat,Algo21,47
SiSEC08,Listener_19,music,wdrums,hat,Algo22,52
SiSEC08,Listener_19,music,wdrums,hat,Algo24,47
SiSEC08,Listener_19,music,wdrums,hat,Algo25,30
SiSEC08,Listener_19,music,wdrums,hat,Algo27,47
SiSEC08,Listener_19,music,wdrums,hat,Algo30,57
SiSEC08,Listener_19,music,wdrums,hat,Algo32,45
SiSEC08,Listener_19,music,wdrums,hat,Algo34,35
SiSEC08,Listener_19,music,wdrums,hat,anchor,25
SiSEC08,Listener_19,music,wdrums,kicksnare,orig,100
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo8,33
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo21,58
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo22,55
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo24,40
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo25,0
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo27,10
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo30,50
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo32,33
SiSEC08,Listener_19,music,wdrums,kicksnare,Algo34,40
SiSEC08,Listener_19,music,wdrums,kicksnare,anchor,30
SiSEC08,Listener_19,music,wdrums,bass,orig,100
SiSEC08,Listener_19,music,wdrums,bass,Algo8,62
SiSEC08,Listener_19,music,wdrums,bass,Algo21,60
SiSEC08,Listener_19,music,wdrums,bass,Algo22,80
SiSEC08,Listener_19,music,wdrums,bass,Algo24,55
SiSEC08,Listener_19,music,wdrums,bass,Algo25,20
SiSEC08,Listener_19,music,wdrums,bass,Algo27,62
SiSEC08,Listener_19,music,wdrums,bass,Algo30,68
SiSEC08,Listener_19,music,wdrums,bass,Algo32,40
